,dob,photo_taken,age,file_path,gender,face_location,face_score,second_face_score
94,723590,2007,25,29/1004429_1981-02-13_2007.jpg,1,"110, 92, 274, 255",4.597932586281533,
95,721591,2011,35,40/1004540_1975-08-25_2011.jpg,0,"52, 129, 283, 361",5.244717610419388,
98,725934,2014,26,56/10046756_1987-07-16_2014.jpg,0,"79, 178, 256, 354",2.831632070596439,
100,707838,1961,23,54/1004854_1937-12-29_1961.jpg,0,"161, 107, 321, 267",2.96463644712484,
101,690933,1958,66,00/10049200_1891-09-16_1958.jpg,0,"126, 111, 267, 252",5.254818639993248,
104,707724,2010,72,79/1005079_1937-09-06_2010.jpg,0,"85, 106, 274, 295",3.3343514755536487,
105,714236,2005,49,31/1005131_1955-07-06_2005.jpg,1,"147, 51, 198, 101",3.056615300266259,
106,715885,2013,52,58/1005258_1960-01-10_2013.jpg,0,"107, 86, 298, 277",5.197344366635476,
107,724074,2009,26,11/10054011_1982-06-12_2009.jpg,1,"60, 141, 240, 320",3.842110512234417,
110,727835,2010,17,79/10055379_1992-09-28_2010.jpg,1,"61, 121, 331, 392",4.015770940039251,
112,719681,2009,38,88/10058588_1970-06-02_2009.jpg,1,"107, 86, 298, 277",2.969186056059951,
113,723152,2006,26,27/1005927_1979-12-03_2006.jpg,1,"64, 51, 180, 167",4.9794175276846975,
125,725376,2009,22,03/10064003_1986-01-04_2009.jpg,0,"192, 75, 288, 170",3.7228474993372727,
126,723369,2005,24,07/1006407_1980-07-07_2005.jpg,0,"169, 91, 286, 208",5.482030546880283,
131,714046,2000,45,92/100692_1954-12-28_2000.jpg,1,"68, 136, 220, 288",4.708681548697594,
133,720644,2011,37,07/1007007_1973-01-20_2011.jpg,1,"136, 121, 271, 256",3.200606044055522,
135,723835,2010,28,45/10071745_1981-10-16_2010.jpg,1,"48, 63, 189, 204",3.881406275791293,
136,706891,2005,69,92/1007192_1935-05-27_2005.jpg,0,"176, 40, 248, 112",3.706717689936597,
137,716334,2010,48,71/10071_1961-04-03_2010.jpg,0,"0, 149, 334, 483",4.790645351325969,
139,720446,2009,36,98/10072598_1972-07-06_2009.jpg,1,"79, 111, 221, 253",3.536742823056265,
141,724344,2013,29,99/1007499_1983-03-09_2013.jpg,1,"93, 37, 175, 120",3.8409820600124087,
142,710341,1982,37,01/10075401_1944-11-05_1982.jpg,1,"141, 43, 267, 168",3.635214084118172,
143,726113,2010,21,15/10075415_1988-01-11_2010.jpg,0,"171, 100, 298, 227",4.590059231512015,
146,719149,2012,43,36/1007636_1968-12-17_2012.jpg,1,"151, 66, 235, 150",2.869201963641347,
148,711482,2007,59,64/1007764_1947-12-21_2007.jpg,1,"199, 45, 279, 126",3.336624114869822,
155,727268,2010,18,69/10079169_1991-03-11_2010.jpg,0,"146, 93, 265, 212",3.6442533705686007,
156,725440,2009,22,28/1007928_1986-03-09_2009.jpg,0,"162, 97, 307, 242",4.956615363597603,
157,725592,2014,27,46/10080646_1986-08-08_2014.jpg,0,"98, 123, 318, 343",4.635688026850942,
159,714766,2009,52,33/1008133_1956-12-17_2009.jpg,1,"91, 121, 362, 392",4.161781127489545,
161,705072,1965,34,67/10081867_1930-06-03_1965.jpg,0,"181, 121, 316, 256",2.781323688646147,
163,715313,2009,50,83/1008283_1958-06-17_2009.jpg,1,"105, 132, 341, 367",5.360786593729777,
165,720192,2006,34,52/1008352_1971-10-26_2006.jpg,1,"59, 89, 192, 222",2.9220873844885373,
166,711760,1978,29,40/100840_1948-09-24_1978.jpg,1,"91, 61, 362, 331",2.7594944332460702,
167,726548,2014,24,76/10084176_1989-03-21_2014.jpg,1,"171, 79, 289, 197",4.258463058838422,
168,720175,2010,38,01/1008501_1971-10-09_2010.jpg,1,"151, 31, 286, 165",3.0070373560414723,
169,721251,2015,40,06/1008506_1974-09-19_2015.jpg,0,"171, 107, 362, 298",3.471160653819465,
175,710433,1973,27,81/10088281_1945-02-05_1973.jpg,1,"65, 130, 355, 420",4.273892812842571,
176,707940,1976,37,40/1008840_1938-04-10_1976.jpg,1,"130, 104, 361, 336",5.471801208431188,
177,714729,2008,51,76/10088476_1956-11-10_2008.jpg,1,"114, 57, 241, 184",3.1782766196602013,
179,724007,2002,19,54/10088854_1982-04-06_2002.jpg,1,"130, 43, 228, 141",3.5967281798917936,
181,724123,2009,26,10/10089110_1982-07-31_2009.jpg,1,"130, 81, 274, 226",3.708203339374699,
183,719394,2000,30,44/10089844_1969-08-19_2000.jpg,1,"20, 51, 113, 144",5.068770127167266,
186,725447,2012,25,74/10093174_1986-03-16_2012.jpg,1,"82, 55, 205, 178",4.448780374003032,
189,726670,2011,21,85/10093585_1989-07-21_2011.jpg,0,"194, 81, 339, 226",5.377803558782456,
190,710177,2012,67,36/100936_1944-05-25_2012.jpg,1,"29, 113, 281, 366",2.572555614811498,
192,723611,2007,25,53/1009453_1981-03-06_2007.jpg,0,"121, 181, 392, 452",3.230214633158893,
201,696397,1941,34,36/20000636_1906-09-02_1941.jpg,1,"108, 46, 245, 184",3.998757988293682,
202,721688,1996,20,19/2000219_1975-11-30_1996.jpg,0,"98, 20, 156, 78",3.983013757928118,
204,712207,1986,36,53/200053_1949-12-15_1986.jpg,1,"98, 196, 318, 416",2.741761905960691,
205,723820,2013,31,62/2000562_1981-10-01_2013.jpg,1,"59, 205, 321, 468",4.812911786339091,
209,712284,2011,60,74/20008074_1950-03-02_2011.jpg,1,"70, 104, 381, 416",3.478167522051689,
212,718933,2007,38,64/20010364_1968-05-15_2007.jpg,1,"171, 109, 311, 248",3.871675420001214,
214,715880,2013,52,18/2001318_1960-01-05_2013.jpg,1,"48, 167, 262, 382",3.0790350031956883,
215,725511,2012,25,06/20013406_1986-05-19_2012.jpg,1,"141, 169, 394, 422",5.538993693122968,
216,703348,1958,32,13/20013513_1925-09-13_1958.jpg,1,"82, 67, 148, 133",3.208500419411118,
219,697794,2005,94,42/20015042_1910-06-30_2005.jpg,0,"143, 79, 206, 142",2.6300548556662338,
220,727149,2011,20,78/20015278_1990-11-12_2011.jpg,1,"120, 167, 334, 382",3.9138214575849912,
221,722707,2010,31,34/20015634_1978-09-14_2010.jpg,1,"136, 15, 271, 150",2.603818928150877,
224,711147,1993,45,40/2001740_1947-01-20_1993.jpg,1,"67, 67, 267, 267",5.103265261952116,
229,726846,2014,23,61/20022961_1990-01-13_2014.jpg,1,"65, 130, 355, 420",5.000933250085387,
236,722884,2009,29,55/20025755_1979-03-10_2009.jpg,1,"190, 50, 278, 139",3.3510355663756126,
238,702375,1951,27,69/20027069_1923-01-14_1951.jpg,1,"24, 37, 135, 147",3.606033695402701,
239,727001,2014,23,50/20027350_1990-06-17_2014.jpg,1,"237, 50, 325, 137",3.975564742137427,
241,724182,2013,30,56/2002856_1982-09-28_2013.jpg,0,"132, 132, 367, 367",3.605292345812248,
242,726181,2009,20,87/20028987_1988-03-19_2009.jpg,1,"83, 229, 270, 415",2.918284916684137,
246,709178,2015,73,82/20032482_1941-08-30_2015.jpg,1,"195, 65, 253, 123",2.7311731929542487,
249,718612,2009,41,40/20033040_1967-06-29_2009.jpg,0,"194, 60, 328, 194",4.333820056987025,
251,715128,2014,56,35/20033935_1957-12-14_2014.jpg,1,"141, 99, 267, 225",4.084451355455438,
252,725552,2009,22,55/20034355_1986-06-29_2009.jpg,1,"113, 161, 256, 304",3.340286992875668,
254,687270,1944,62,57/200357_1881-09-05_1944.jpg,1,"75, 38, 143, 105",3.4323014729513117,
256,710275,2012,67,40/2003740_1944-08-31_2012.jpg,0,"147, 98, 292, 244",2.774981732134861,
259,688817,1940,54,85/200385_1885-11-30_1940.jpg,1,"123, 147, 343, 367",3.2480139656448825,
262,692069,1944,49,03/20042203_1894-10-26_1944.jpg,1,"97, 97, 388, 388",3.689922482557313,
266,716387,2011,49,55/2004855_1961-05-26_2011.jpg,1,"61, 61, 170, 170",5.277782509974504,
269,718757,2010,42,28/20050128_1967-11-21_2010.jpg,1,"180, 45, 313, 179",3.582895142316236,
273,720554,2008,35,90/2005290_1972-10-22_2008.jpg,0,"105, 79, 341, 315",6.18273825571757,
274,724007,2009,26,72/20053572_1982-04-06_2009.jpg,1,"112, 56, 236, 181",2.860802944776484,
275,706981,1956,20,58/20054558_1935-08-25_1956.jpg,1,"149, 112, 315, 278",3.14167547575474,
276,714740,2009,52,74/2005574_1956-11-21_2009.jpg,0,"0, 61, 271, 331",3.343297544227484,
277,720040,2014,42,63/200563_1971-05-27_2014.jpg,1,"38, 112, 371, 445",2.567738141357748,
278,711151,1978,30,91/200591_1947-01-24_1978.jpg,1,"65, 162, 355, 452",4.0171314512160645,
283,696876,1945,37,61/2006361_1907-12-25_1945.jpg,1,"92, 46, 230, 184",3.351737501130647,
284,725657,2014,27,82/20064382_1986-10-12_2014.jpg,1,"118, 103, 250, 235",2.623538282739036,
286,723676,2014,32,85/2006485_1981-05-10_2014.jpg,1,"92, 105, 210, 223",2.7863120968623525,
287,707072,1960,24,81/20065381_1935-11-24_1960.jpg,1,"64, 75, 161, 172",3.407413090620837,
289,701199,1973,53,98/20065598_1919-10-26_1973.jpg,1,"123, 92, 261, 230",4.559077248816067,
290,718369,2003,36,79/2006579_1966-10-29_2003.jpg,1,"121, 61, 256, 196",3.239919684022404,
293,712028,2011,61,09/20068709_1949-06-19_2011.jpg,1,"136, 91, 271, 226",3.933573499563912,
294,721103,2009,34,78/20069078_1974-04-24_2009.jpg,1,"115, 69, 320, 274",4.749769752244823,
295,716794,2011,48,30/2006930_1962-07-07_2011.jpg,1,"101, 130, 230, 259",3.493276833572561,
299,710563,2015,69,94/2007194_1945-06-15_2015.jpg,1,"145, 81, 289, 224",3.2845820970333324,
304,720728,2014,40,50/200750_1973-04-14_2014.jpg,1,"120, 80, 298, 258",4.62303667852391,
306,713080,2014,61,87/2007787_1952-05-06_2014.jpg,1,"197, 46, 331, 181",2.934384048889881,
307,719651,2009,38,16/2008016_1970-05-03_2009.jpg,1,"79, 105, 315, 341",3.8321255588471015,
314,706789,1956,20,29/20088629_1935-02-14_1956.jpg,1,"67, 112, 268, 313",4.54427262822227,
316,722043,2012,35,15/20089715_1976-11-19_2012.jpg,1,"128, 150, 320, 341",4.844692223512698,
319,725266,2010,24,26/2009326_1985-09-16_2010.jpg,1,"97, 162, 388, 452",6.068164836253979,
320,717470,2008,43,14/2009614_1964-05-13_2008.jpg,1,"13, 79, 130, 196",3.784798629153987,
329,726715,2011,21,36/30001236_1989-09-04_2011.jpg,1,"130, 110, 219, 199",3.257937105465756,
330,724993,2013,28,35/30001835_1984-12-17_2013.jpg,1,"100, 80, 189, 169",2.592093819604717,
337,703345,1948,22,25/30007125_1925-09-10_1948.jpg,1,"66, 75, 140, 148",2.552825276854363,
338,716782,2011,48,57/30007557_1962-06-25_2011.jpg,1,"106, 46, 241, 181",2.9272859604654102,
339,724961,2012,27,87/30008387_1984-11-15_2012.jpg,0,"186, 243, 258, 315",4.249692917844397,
340,727769,2015,22,53/30009853_1992-07-24_2015.jpg,1,"91, 181, 362, 452",4.347396953104787,
341,722596,2008,29,89/3001089_1978-05-26_2008.jpg,1,"151, 106, 286, 241",2.853352652659907,
342,722305,2011,33,99/3001099_1977-08-08_2011.jpg,0,"98, 123, 318, 343",4.642086811872575,
347,717365,2010,45,35/30011835_1964-01-29_2010.jpg,1,"157, 112, 358, 313",4.356467167327704,
350,723577,2012,30,26/3001226_1981-01-31_2012.jpg,-1,"55, 37, 138, 119",3.729982979783687,
351,725280,2014,28,47/3001247_1985-09-30_2014.jpg,1,"185, 57, 256, 128",2.711410698885475,
354,710302,2010,65,77/3001477_1944-09-27_2010.jpg,0,"209, 72, 273, 136",3.729553508897361,
361,719999,2011,39,53/3002053_1971-04-16_2011.jpg,1,"100, 60, 278, 238",4.710275031407023,
364,724905,2011,26,29/30021129_1984-09-20_2011.jpg,1,"113, 141, 366, 394",5.125608921860912,
366,725565,2012,25,06/30022306_1986-07-12_2012.jpg,1,"132, 59, 263, 190",2.8484382663560037,
367,718875,2007,38,36/30022636_1968-03-18_2007.jpg,1,"75, 149, 408, 483",5.191681539214649,
368,724155,2008,25,22/30026522_1982-09-01_2008.jpg,1,"139, 69, 242, 173",2.502372158607852,
370,703401,2008,82,25/30028425_1925-11-05_2008.jpg,1,"58, 47, 163, 151",4.009530996489213,
371,716422,2008,46,12/30028612_1961-06-30_2008.jpg,1,"86, 86, 240, 240",2.987054906821374,
373,724373,2012,28,12/3002912_1983-04-07_2012.jpg,1,"134, 89, 332, 288",3.891722339408204,
376,714772,2014,57,21/3003021_1956-12-23_2014.jpg,1,"93, 75, 260, 241",4.377862216443561,
380,718381,2009,42,79/3003379_1966-11-10_2009.jpg,0,"181, 61, 316, 196",2.78226265928576,
382,714890,2011,53,47/30034447_1957-04-20_2011.jpg,1,"92, 183, 297, 388",4.713011835182248,
383,714208,2014,58,34/30034_1955-06-08_2014.jpg,1,"251, 50, 341, 140",4.577596879767921,
389,725098,2006,20,03/30040203_1985-04-01_2006.jpg,1,"122, 85, 230, 194",4.190981761736861,
394,715154,2011,52,51/30045851_1958-01-09_2011.jpg,1,"86, 86, 277, 277",2.831577690856035,
396,710742,2012,66,02/30046202_1945-12-11_2012.jpg,1,"120, 120, 298, 298",4.029321959307656,
397,700509,1959,41,31/3004631_1917-12-05_1959.jpg,0,"120, 80, 298, 258",2.8133017546563845,
398,722879,2010,30,34/3004634_1979-03-05_2010.jpg,1,"209, 225, 280, 296",3.2560696026921847,
404,719019,2009,40,72/3005072_1968-08-09_2009.jpg,1,"156, 39, 272, 155",3.861076250176885,
409,727541,2014,22,13/30058713_1991-12-09_2014.jpg,1,"195, 170, 412, 388",4.113418291561221,
412,727269,2015,23,62/30061462_1991-03-12_2015.jpg,0,"77, 77, 307, 307",3.0573416329062524,
413,727270,2010,18,79/30062079_1991-03-13_2010.jpg,0,"103, 56, 185, 139",3.817959956806333,
414,719128,2009,40,60/30062160_1968-11-26_2009.jpg,0,"106, 83, 155, 133",2.968394485198471,
417,692028,1977,82,50/300650_1894-09-15_1977.jpg,1,"50, 57, 107, 113",3.178091765828562,
419,698271,1941,29,58/30066658_1911-10-20_1941.jpg,1,"37, 74, 202, 238",4.722936145437107,
420,711945,2005,55,51/3006751_1949-03-28_2005.jpg,1,"177, 112, 230, 165",3.5874563630360363,
421,722097,2009,31,56/3006756_1977-01-12_2009.jpg,1,"86, 107, 277, 298",4.970127317828605,
422,716479,2011,49,50/3006850_1961-08-26_2011.jpg,1,"106, 85, 295, 274",3.4402071394924008,
423,713987,2014,59,02/3006902_1954-10-30_2014.jpg,1,"46, 0, 440, 411",2.953064233185916,
426,705202,2010,79,57/3007157_1930-10-11_2010.jpg,1,"123, 196, 343, 416",3.910655062590337,
427,726786,2012,22,49/30072249_1989-11-14_2012.jpg,1,"134, 156, 334, 356",4.074615470698883,
429,713934,2013,58,77/3007277_1954-09-07_2013.jpg,1,"104, 139, 416, 450",4.810947186940887,
430,727609,2014,21,89/30073089_1992-02-15_2014.jpg,1,"59, 147, 323, 411",5.236484146933117,
431,707999,2000,61,35/3007535_1938-06-08_2000.jpg,1,"149, 56, 315, 222",3.692079239404445,
434,728130,2014,20,45/30079345_1993-07-20_2014.jpg,1,"27, 190, 271, 434",4.475102266282582,
438,715033,2014,56,19/3008319_1957-09-10_2014.jpg,0,"79, 105, 315, 341",4.6682400410245695,
439,705869,1955,22,44/30085244_1932-08-08_1955.jpg,1,"107, 107, 148, 148",2.509151227708484,
444,719705,2013,42,93/3008793_1970-06-26_2013.jpg,1,"138, 92, 343, 297",4.298973321131414,
446,716331,2002,40,37/3008837_1961-03-31_2002.jpg,1,"86, 235, 277, 426",2.860713728305684,
449,726081,2013,25,19/30092419_1987-12-10_2013.jpg,1,"120, 100, 298, 278",3.4441454738912323,
450,725424,2009,22,72/3009272_1986-02-21_2009.jpg,0,"255, 40, 305, 90",2.9210775441279324,
451,728484,2012,17,48/30093048_1994-07-09_2012.jpg,1,"59, 118, 323, 382",4.240800359247349,
455,725287,2009,23,63/30099963_1985-10-07_2009.jpg,1,"59, 147, 323, 411",4.418877158273364,
457,721794,2009,32,41/4000241_1976-03-15_2009.jpg,0,"123, 147, 343, 367",4.962781401831439,
460,708488,1997,57,62/400062_1939-10-10_1997.jpg,1,"121, 91, 392, 362",5.26050579857908,
462,698118,1984,72,61/4001161_1911-05-20_1984.jpg,0,"111, 221, 441, 551",2.8286982571930515,
468,715340,2009,50,48/40021348_1958-07-14_2009.jpg,1,"181, 227, 316, 362",4.214381398373053,
470,726491,2014,24,72/40023572_1989-01-23_2014.jpg,1,"146, 130, 291, 274",3.2260411938901616,
474,725991,2014,26,51/40031851_1987-09-11_2014.jpg,0,"123, 147, 343, 367",5.0435278263071766,
475,728037,2013,19,41/40032041_1993-04-18_2013.jpg,1,"139, 122, 294, 277",4.978767669893453,
483,725230,2014,28,90/40038790_1985-08-11_2014.jpg,1,"138, 80, 240, 182",4.575841756311641,
484,723906,2014,32,69/40038969_1981-12-26_2014.jpg,0,"171, 40, 262, 131",2.802561137213885,
488,705090,1973,42,24/4004224_1930-06-21_1973.jpg,1,"121, 91, 392, 362",3.842744893713201,
491,721962,2013,36,45/40044245_1976-08-30_2013.jpg,1,"121, 121, 392, 392",4.9473741669994125,
496,724500,2010,26,31/40052531_1983-08-12_2010.jpg,-1,"155, 127, 281, 253",3.4944634260252454,
500,717917,2011,45,90/40053390_1965-08-03_2011.jpg,1,"104, 174, 260, 329",3.679652376165303,
501,722523,2007,28,88/4005388_1978-03-14_2007.jpg,0,"77, 154, 307, 384",5.536889297481496,
503,710156,1972,27,33/40055633_1944-05-04_1972.jpg,1,"227, 129, 294, 196",2.7747713184981624,
504,715299,2011,52,59/40056659_1958-06-03_2011.jpg,1,"123, 61, 260, 199",3.7829259960436743,
508,718896,2015,46,95/400595_1968-04-08_2015.jpg,0,"35, 208, 346, 520",5.017971631445231,
512,726989,2013,22,08/40061508_1990-06-05_2013.jpg,-1,"152, 76, 289, 213",5.437536290410042,
513,728664,2013,17,28/40061528_1995-01-05_2013.jpg,-1,"86, 235, 277, 426",5.35508767518703,
514,707889,1964,25,33/40062333_1938-02-18_1964.jpg,1,"172, 138, 274, 240",2.535017337505782,
518,723293,2007,26,13/4006513_1980-04-22_2007.jpg,0,"146, 98, 363, 315",4.795136488750006,
519,726965,2013,22,20/40066920_1990-05-12_2013.jpg,1,"140, 239, 318, 418",4.956632373644617,
521,727976,2013,19,71/40067271_1993-02-16_2013.jpg,0,"146, 122, 363, 339",4.573937285402892,
523,714618,2013,56,72/40067672_1956-07-22_2013.jpg,1,"74, 99, 185, 210",3.5148019458428985,
524,703434,2004,78,84/400684_1925-12-08_2004.jpg,1,"134, 54, 255, 174",2.84428193006148,
526,710580,2012,66,37/40069437_1945-07-02_2012.jpg,1,"98, 196, 318, 416",4.238825837888379,
527,725363,2015,29,75/4006975_1985-12-22_2015.jpg,0,"150, 107, 245, 202",2.5180709200052607,
528,721997,2014,37,65/40073765_1976-10-04_2014.jpg,0,"127, 57, 253, 183",5.434600536066131,
529,724502,2012,28,38/400738_1983-08-14_2012.jpg,0,"107, 107, 298, 298",5.457565548208073,
532,727216,2014,22,78/40076878_1991-01-18_2014.jpg,0,"186, 100, 297, 210",3.632677297156374,
537,720392,2015,42,30/4008530_1972-05-13_2015.jpg,1,"69, 69, 274, 274",4.38437213435137,
538,721834,2007,30,40/40085340_1976-04-24_2007.jpg,1,"40, 40, 112, 112",2.718594057475215,
539,717255,2009,45,50/4009050_1963-10-11_2009.jpg,1,"49, 123, 269, 343",2.831992256204826,
541,723587,2014,32,32/40092132_1981-02-10_2014.jpg,0,"98, 123, 318, 343",3.072645173210263,
542,726131,2014,25,63/40092263_1988-01-29_2014.jpg,1,"98, 54, 178, 133",3.9344831376514176,
543,729239,2014,17,92/40093192_1996-08-02_2014.jpg,0,"52, 52, 170, 170",2.65526442685644,
544,726738,2013,23,08/40093408_1989-09-27_2013.jpg,0,"151, 197, 286, 331",3.0484990003484405,
546,718440,2007,39,72/4009972_1967-01-08_2007.jpg,1,"24, 73, 133, 182",3.587389663716866,
547,724287,2011,27,82/4009982_1983-01-11_2011.jpg,1,"40, 160, 398, 517",2.7211966237811733,
548,700352,1944,26,13/5001813_1917-07-01_1944.jpg,1,"52, 39, 168, 155",4.33679197466027,
549,725398,2009,22,62/5001962_1986-01-26_2009.jpg,0,"174, 52, 329, 208",4.812473563663866,
550,715559,2014,54,78/5002778_1959-02-18_2014.jpg,0,"98, 123, 318, 343",3.712548653150211,
551,724433,2013,29,73/5003173_1983-06-06_2013.jpg,0,"79, 79, 315, 315",3.226099107355247,
555,723120,2012,32,66/5006566_1979-11-01_2012.jpg,0,"24, 144, 238, 358",3.6070304652937617,
557,705722,1975,42,04/5007104_1932-03-14_1975.jpg,1,"85, 169, 337, 422",3.780826860579744,
558,725129,2007,21,34/5007334_1985-05-02_2007.jpg,0,"89, 111, 188, 211",3.4354804032076425,
560,725865,2014,26,57/5008457_1987-05-08_2014.jpg,1,"151, 40, 240, 130",2.9301889921501494,
561,725954,2012,24,14/5008614_1987-08-05_2012.jpg,0,"138, 115, 343, 320",6.052764831721386,
563,719817,2011,40,69/5008869_1970-10-16_2011.jpg,1,"0, 97, 290, 387",4.051740356856393,
564,724498,2010,26,29/5009229_1983-08-10_2010.jpg,0,"178, 97, 323, 242",5.007669940341196,
567,721517,2015,39,24/6000124_1975-06-12_2015.jpg,1,"75, 94, 243, 262",5.277481587185223,
569,720000,2014,42,02/6001202_1971-04-17_2014.jpg,1,"186, 65, 269, 148",4.220681601373731,
570,721441,2007,31,27/6001227_1975-03-28_2007.jpg,1,"175, 96, 318, 238",2.9040744255448243,
571,698307,1976,64,70/6001570_1911-11-25_1976.jpg,1,"42, 56, 167, 181",4.128762395211391,
575,702960,1987,62,25/60025_1924-08-21_1987.jpg,1,"1, 146, 436, 582",2.5193869962936755,
578,707894,1957,18,91/600291_1938-02-23_1957.jpg,0,"158, 73, 267, 182",5.204046564547501,
579,720144,2013,41,32/600332_1971-09-08_2013.jpg,1,"97, 97, 388, 388",4.6402468462345485,
580,724014,2011,28,90/600390_1982-04-13_2011.jpg,0,"160, 75, 256, 170",4.301234585174846,
582,706092,1966,32,69/6005569_1933-03-19_1966.jpg,0,"138, 115, 343, 320",4.7482731338539725,
584,700694,2013,94,56/6006356_1918-06-08_2013.jpg,1,"67, 151, 217, 300",2.859079893337364,
586,705670,1973,40,22/6007022_1932-01-22_1973.jpg,1,"141, 113, 267, 239",3.830273682622931,
587,718203,2011,44,70/60070_1966-05-16_2011.jpg,0,"146, 69, 215, 138",4.211863888135919,
588,714131,2010,54,99/6007399_1955-03-23_2010.jpg,1,"149, 103, 232, 185",2.875198792936004,
590,712965,2007,54,74/600774_1952-01-12_2007.jpg,1,"136, 68, 339, 271",2.77295382733914,
592,725835,2009,21,49/6008849_1987-04-08_2009.jpg,1,"38, 186, 371, 520",4.5904590766010855,
594,726745,2014,24,10/7000810_1989-10-04_2014.jpg,0,"75, 149, 408, 483",4.433762182294611,
595,713150,2008,55,24/700124_1952-07-15_2008.jpg,1,"70, 105, 382, 417",3.4567051703733647,
596,697696,1945,34,48/700148_1910-03-24_1945.jpg,1,"40, 200, 398, 557",3.9541631115405727,
597,692520,1986,89,20/70020_1896-01-20_1986.jpg,1,"65, 130, 355, 420",2.711078164465251,
598,722442,2009,31,03/7002103_1977-12-23_2009.jpg,1,"158, 55, 219, 116",4.151368862915346,
