,file_path,age
5930,dataset2\29\11704_OliviaHussey_29_f.jpg,29
14542,dataset2\57\031594_2M57.JPG,57
13485,dataset2\53\062503_1M53.JPG,53
18301,dataset2\68\2082_JonVoight_68_m.jpg,68
14799,dataset2\57\17447217_1949-01-09_2007.jpg,57
6760,dataset2\32\10314_TerryMoore_32_f.jpg,32
15961,dataset2\60\1929_EdwardFox_60_m.jpg,60
1390,dataset2\14\14_1_0_20170109214707410.jpg.chip.jpg,14
2355,dataset2\17\16278_03M17.JPG,17
2058,dataset2\16\16_0_0_20170110232818695.jpg.chip.jpg,16
7420,dataset2\34\095776_0M34.JPG,34
1717,dataset2\15\15_1_1_20170116000638538.jpg.chip.jpg,15
12685,dataset2\50\066546_3M50.JPG,50
3058,dataset2\20\02953_04M20.JPG,20
3989,dataset2\23\07696_02M23.JPG,23
5288,dataset2\27\10650_LuiseRainer_27_f.jpg,27
3314,dataset2\20\15220_DebraPaget_20_f.jpg,20
18478,dataset2\69\1201971_1937-01-06_2007.jpg,69
7608,dataset2\35\02843_03M35.JPG,35
3259,dataset2\20\1381_OdysseasElytis_20_m.jpg,20
13211,dataset2\52\067206_0M52.JPG,52
6467,dataset2\31\1132_FaradayMichael_31_m.jpg,31
2156,dataset2\17\049A17.JPG,17
1878,dataset2\16\11157203_1989-01-06_2006.jpg,16
6711,dataset2\32\0901_4M32.JPG,32
1791,dataset2\15\26003688_1993-01-29_2009.jpg,15
15846,dataset2\60\1324588_1952-11-20_2013.jpg,60
2651,dataset2\18\11810_AnjelicaHuston_18_f.jpg,18
257,dataset2\10\nm0005286_rm3656292608_1988-4-10_1999.jpg,10
23,dataset2\10\060A10.JPG,10
16054,dataset2\61\062875_3M61.JPG,61
5012,dataset2\26\1103143_1961-06-03_1988.jpg,26
5707,dataset2\28\1235_02M28.JPG,28
12279,dataset2\5\5_1_0_20170109194113052.jpg.chip.jpg,5
4766,dataset2\25\12261679_1988-11-03_2014.jpg,25
2455,dataset2\18\019A18.JPG,18
18157,dataset2\68\10849_RaquelWelch_68_f.jpg,68
7892,dataset2\36\01741_01M36.JPG,36
4523,dataset2\24\1402_01M24.JPG,24
9125,dataset2\40\045A40.JPG,40
5801,dataset2\29\08516_00M29.JPG,29
2778,dataset2\19\039A19.JPG,19
17478,dataset2\65\2980_tomselleck_65_m.jpg,65
4662,dataset2\25\10932678_1978-12-04_2004.jpg,25
129,dataset2\10\10_0_4_20170103202338152.jpg.chip.jpg,10
7767,dataset2\35\084794_0M35.JPG,35
9845,dataset2\42\057770_1M42.JPG,42
19194,dataset2\70\1863_TomJones_70_m.jpg,70
6246,dataset2\30\11724_03M30.JPG,30
19442,dataset2\8\8_0_0_20170117182551223.jpg.chip.jpg,8
17895,dataset2\67\12179_GlendaJackson_67_f.jpg,67
4866,dataset2\26\01322_08M26.JPG,26
17682,dataset2\66\20132_1941-06-12_2008.jpg,66
4084,dataset2\23\1154_00M23.JPG,23
8986,dataset2\39\068372_1M39.JPG,39
7723,dataset2\35\077947_0M35.JPG,35
7032,dataset2\33\082283_0M33.JPG,33
3403,dataset2\21\10132158_1985-09-02_2007.jpg,21
3099,dataset2\20\07685_02M20.JPG,20
5479,dataset2\28\02953_05F28.JPG,28
3338,dataset2\21\012A21.JPG,21
15600,dataset2\6\6_1_3_20170104221718143.jpg.chip.jpg,6
17302,dataset2\65\12509082_1938-03-20_2004.jpg,65
18525,dataset2\69\157854_1882-03-30_1952.jpg,69
13444,dataset2\53\050309_1M53.JPG,53
18027,dataset2\67\24862856_1942-02-14_2010.jpg,67
714,dataset2\12\12_1_0_20170109203306886.jpg.chip.jpg,12
17584,dataset2\66\12268_JoanneWoodward_66_f.jpg,66
12111,dataset2\49\064737_1M49.JPG,49
17857,dataset2\67\10340334_1943-11-23_2011.jpg,67
3243,dataset2\20\1323823_1986-02-13_2007.jpg,20
3343,dataset2\21\02265_05M21.JPG,21
4562,dataset2\25\0332_00M25.JPG,25
3572,dataset2\21\13974_GloriaSwanson_21_f.jpg,21
11192,dataset2\46\057025_04M46.JPG,46
1394,dataset2\14\14_1_1_20170112230439326.jpg.chip.jpg,14
2406,dataset2\17\17_0_0_20170110231711354.jpg.chip.jpg,17
4980,dataset2\26\10672_LuiseRainer_26_f.jpg,26
12257,dataset2\5\5_1_0_20170109192408726.jpg.chip.jpg,5
14996,dataset2\58\13431_DanielleDarrieux_58_f.jpg,58
9192,dataset2\40\060460_2M40.JPG,40
11298,dataset2\47\048125_6F47.JPG,47
4421,dataset2\24\12278_LauraAntonelli_24_f.jpg,24
19777,dataset2\9\9_0_0_20170110224508007.jpg.chip.jpg,9
304,dataset2\11\011A11.JPG,11
2097,dataset2\16\16_1_0_20170103201602647.jpg.chip.jpg,16
16456,dataset2\62\1422968_1947-08-23_2010.jpg,62
18444,dataset2\69\019066_2M69.JPG,69
12758,dataset2\51\040810_0M51.JPG,51
10334,dataset2\44\048806_1M44.JPG,44
1430,dataset2\14\19816876_1993-03-25_2008.jpg,14
14771,dataset2\57\15806_SarahDouglas_57_f.jpg,57
369,dataset2\11\11_1_0_20170109203353740.jpg.chip.jpg,11
1654,dataset2\15\15_0_3_20170104225906465.jpg.chip.jpg,15
5499,dataset2\28\06568_04M28.JPG,28
6278,dataset2\30\12200780_1930-09-08_1961.jpg,30
10880,dataset2\45\056136_02M45.JPG,45
18913,dataset2\7\7_1_2_20170104023324470.jpg.chip.jpg,7
14599,dataset2\57\052996_00M57.JPG,57
4547,dataset2\25\00243_03M25.JPG,25
11682,dataset2\48\051500_04M48.JPG,48
7899,dataset2\36\02044_5M36.JPG,36
10784,dataset2\45\052562_0M45.JPG,45
14322,dataset2\56\05003_0M56.JPG,56
5687,dataset2\28\12226670_1982-08-09_2011.jpg,28
18210,dataset2\68\13440_DanielleDarrieux_68_f.jpg,68
6196,dataset2\30\11027_EmmaThompson_30_f.jpg,30
8965,dataset2\39\067262_2M39.JPG,39
16439,dataset2\62\13444218_1952-11-15_2015.jpg,62
2301,dataset2\17\14358_LorettaYoung_17_f.jpg,17
9456,dataset2\41\057521_2F41.JPG,41
9387,dataset2\40\068011_2M40.JPG,40
10131,dataset2\43\055659_2M43.JPG,43
14612,dataset2\57\069114_02M57.JPG,57
11898,dataset2\49\046918_1M49.JPG,49
18079,dataset2\67\362828_1947-06-22_2015.jpg,67
7605,dataset2\35\02531_17F35.JPG,35
4956,dataset2\26\10375_AnnMargret_26_f.jpg,26
106,dataset2\10\10_0_0_20170117143048181.jpg.chip.jpg,10
12418,dataset2\50\037747_1M50.JPG,50
12752,dataset2\51\040081_0F51.JPG,51
9940,dataset2\42\061158_01M42.JPG,42
6287,dataset2\30\12265902_1984-01-29_2015.jpg,30
8637,dataset2\38\070081_8F38.JPG,38
9218,dataset2\40\060975_9M40.JPG,40
12031,dataset2\49\054186_0F49.JPG,49
3153,dataset2\20\10835011_1984-06-09_2005.jpg,20
5909,dataset2\29\11472607_1923-05-28_1953.jpg,29
7801,dataset2\35\087567_2M35.JPG,35
4169,dataset2\23\13013_GeraldineChaplin_23_f.jpg,23
9858,dataset2\42\058231_6M42.JPG,42
7137,dataset2\33\102295_5M33.JPG,33
17667,dataset2\66\185202_1941-05-21_2008.jpg,66
12249,dataset2\5\5_1_0_20170109191338616.jpg.chip.jpg,5
18745,dataset2\69\69_0_0_20170111203934092.jpg.chip.jpg,69
14302,dataset2\56\044841_2M56.JPG,56
9701,dataset2\42\01188_0F42.JPG,42
16095,dataset2\61\10876_SusanGeorge_61_f.jpg,61
1792,dataset2\15\26068932_1957-05-08_1973.jpg,15
16467,dataset2\62\14660_BarbaraStanwyck_62_f.jpg,62
5004,dataset2\26\10969046_1984-07-24_2011.jpg,26
2424,dataset2\18\00189_01M18.JPG,18
16775,dataset2\63\15315011_1939-05-14_2003.jpg,63
2015,dataset2\16\16_0_0_20170110231919941.jpg.chip.jpg,16
11020,dataset2\46\050244_6M46.JPG,46
15072,dataset2\58\16093_DannyGlover_58_m.jpg,58
10664,dataset2\45\049032_0M45.JPG,45
13133,dataset2\52\047429_1M52.JPG,52
331,dataset2\11\076A11.JPG,11
7533,dataset2\34\101823_0M34.JPG,34
1311,dataset2\14\14_0_2_20170103201038791.jpg.chip.jpg,14
17587,dataset2\66\12325_MelindaDillion_66_f.jpg,66
13911,dataset2\54\120894_00M54.JPG,54
3316,dataset2\20\15247_DyanCannon_20_f.jpg,20
3463,dataset2\21\11636213_1993-01-29_2015.jpg,21
8229,dataset2\37\066407_0M37.JPG,37
15989,dataset2\60\217241_1947-12-29_2008.jpg,60
13299,dataset2\52\087721_3M52.JPG,52
15329,dataset2\59\156381_17M59.JPG,59
2168,dataset2\17\0576_01M17.JPG,17
6096,dataset2\30\03409_01M30.JPG,30
9215,dataset2\40\060975_6M40.JPG,40
12962,dataset2\51\066546_6M51.JPG,51
8531,dataset2\38\063448_0M38.JPG,38
4125,dataset2\23\12308789_1916-05-31_1940.jpg,23
7997,dataset2\36\072947_0F36.JPG,36
19797,dataset2\9\9_0_0_20170110225112927.jpg.chip.jpg,9
16436,dataset2\62\13316_SigourneyWeaver_62_f.jpg,62
9753,dataset2\42\053564_3M42.JPG,42
4985,dataset2\26\1071787_1971-03-12_1998.jpg,26
9097,dataset2\40\005A40.JPG,40
4032,dataset2\23\10640_LuiseRainer_23_f.jpg,23
12060,dataset2\49\058471_3M49.JPG,49
901,dataset2\12\nm0005286_rm3565650944_1988-4-10_2001.jpg,12
17354,dataset2\65\153828_1944-01-12_2010.jpg,65
7177,dataset2\33\10478_DianneWiest_33_f.jpg,33
18558,dataset2\69\1830689_1944-07-31_2014.jpg,69
14503,dataset2\56\15058_BettyGarrett_56_f.jpg,56
17172,dataset2\64\28802349_1945-06-06_2010.jpg,64
3339,dataset2\21\013A21.JPG,21
10692,dataset2\45\050446_2M45.JPG,45
17878,dataset2\67\11265_ShirleyJones_67_f.jpg,67
7774,dataset2\35\085025_1M35.JPG,35
9903,dataset2\42\060149_0M42.JPG,42
17922,dataset2\67\13844_AnneBancroft_67_f.jpg,67
1190,dataset2\13\nm0342488_rm4036986624_1988-8-24_2002.jpg,13
5489,dataset2\28\04697_00M28.JPG,28
18586,dataset2\69\2447_ChevyChase_69_m.jpg,69
17068,dataset2\64\15406_JanePowell_64_f.jpg,64
3628,dataset2\21\15007_AnnMiller_21_f.jpg,21
2542,dataset2\18\07035_02M18.JPG,18
6701,dataset2\32\07820_0M32.JPG,32
899,dataset2\12\nm0005286_rm3381101568_1988-4-10_2001.jpg,12
17099,dataset2\64\18416026_1945-10-20_2010.jpg,64
248,dataset2\10\nm0001794_rm1418303744_1971-9-9_1982.jpg,10
4773,dataset2\25\12340118_1988-07-24_2014.jpg,25
6085,dataset2\30\021A30.JPG,30
4088,dataset2\23\11653_MireilleDarc_23_f.jpg,23
12337,dataset2\5\5_1_3_20161219225937112.jpg.chip.jpg,5
10293,dataset2\43\061470_1M43.JPG,43
4177,dataset2\23\1308057_1962-06-21_1986.jpg,23
4558,dataset2\25\024A25.JPG,25
10742,dataset2\45\051603_0M45.JPG,45
3322,dataset2\20\15300_12F20.JPG,20
6307,dataset2\30\1252131_1921-02-22_1952.jpg,30
2245,dataset2\17\11216534_1970-03-08_1988.jpg,17
5475,dataset2\28\025A28.JPG,28
9741,dataset2\42\052607_1M42.JPG,42
18034,dataset2\67\262800_1943-04-06_2011.jpg,67
14048,dataset2\55\078522_1F55.JPG,55
2761,dataset2\19\024A19.JPG,19
7379,dataset2\34\088607_4M34.JPG,34
4033,dataset2\23\1066075_1981-07-08_2005.jpg,23
5140,dataset2\26\12528_08M26.JPG,26
8668,dataset2\38\070843_3M38.JPG,38
13005,dataset2\51\076724_04F51.JPG,51
7108,dataset2\33\100276_1M33.JPG,33
12968,dataset2\51\068786_1M51.JPG,51
418,dataset2\11\15147462_1943-12-28_1955.jpg,11
3347,dataset2\21\02498_00M21.JPG,21
9641,dataset2\41\063016_0M41.JPG,41
1204,dataset2\13\nm0407615_rm373655808_1985-3-2_1999.jpg,13
2375,dataset2\17\17105_00M17.JPG,17
15086,dataset2\58\167624_01M58.JPG,58
16488,dataset2\62\15365_ErinGray_62_f.jpg,62
8303,dataset2\37\071636_2M37.JPG,37
11240,dataset2\47\045849_1M47.JPG,47
822,dataset2\12\673785_1980-06-15_1993.jpg,12
19061,dataset2\70\10720_MaggieSmith_70_f.jpg,70
4830,dataset2\25\13030520_1981-02-01_2007.jpg,25
12845,dataset2\51\048057_0M51.JPG,51
3159,dataset2\20\11016419_1965-01-18_1986.jpg,20
3012,dataset2\19\14390_01M19.JPG,19
3222,dataset2\20\12760691_1987-07-29_2008.jpg,20
6305,dataset2\30\1250347_1981-04-29_2012.jpg,30
3443,dataset2\21\1136_HeinrichHertz_21_m.jpg,21
17018,dataset2\64\12158_FrancescaAnnis_64_f.jpg,64
6354,dataset2\30\129580_2M30.JPG,30
12135,dataset2\5\035A05.JPG,5
15392,dataset2\59\208423_01F59.JPG,59
131,dataset2\10\10_0_4_20170103223451479.jpg.chip.jpg,10
18740,dataset2\69\69_0_0_20170104185333726.jpg.chip.jpg,69
6052,dataset2\29\13189_MichellePfeiffer_29_f.jpg,29
12909,dataset2\51\058308_02M51.JPG,51
12110,dataset2\49\064737_0M49.JPG,49
12597,dataset2\50\053090_0M50.JPG,50
4810,dataset2\25\12814493_1982-09-08_2008.jpg,25
13267,dataset2\52\077814_01M52.JPG,52
11488,dataset2\47\061562_1M47.JPG,47
14223,dataset2\55\13604_JeanPeters_55_f.jpg,55
8454,dataset2\37\079405_02M37.JPG,37
15878,dataset2\60\14518_AudreyHepburn_60_f.jpg,60
2570,dataset2\18\08707_01M18.JPG,18
16123,dataset2\61\11972_AngelaLansbury_61_f.jpg,61
2022,dataset2\16\16_0_0_20170110232111509.jpg.chip.jpg,16
16001,dataset2\60\2229674_1948-03-05_2009.jpg,60
16844,dataset2\63\216616_1947-06-01_2011.jpg,63
7,dataset2\10\032A10.JPG,10
13801,dataset2\54\082079_2M54.JPG,54
13412,dataset2\53\046405_13M53.JPG,53
16626,dataset2\63\021896_0F63.JPG,63
16319,dataset2\61\2915373_1952-07-11_2014.jpg,61
3294,dataset2\20\14690232_1986-11-24_2007.jpg,20
6573,dataset2\31\123627_0M31.JPG,31
4052,dataset2\23\10942488_1986-11-02_2010.jpg,23
9533,dataset2\41\060473_1M41.JPG,41
6243,dataset2\30\11705_OliviaHussey_30_f.jpg,30
13892,dataset2\54\114512_09M54.JPG,54
17270,dataset2\65\11236_PiaLindstrom_65_f.jpg,65
18085,dataset2\67\37389465_1893-10-14_1961.jpg,67
10554,dataset2\44\056708_2M44.JPG,44
10654,dataset2\45\048000_1M45.JPG,45
14545,dataset2\57\031714_2M57.JPG,57
5686,dataset2\28\12222119_1924-10-16_1953.jpg,28
687,dataset2\12\12_0_4_20170103200538198.jpg.chip.jpg,12
776,dataset2\12\12_1_4_20170103200721583.jpg.chip.jpg,12
680,dataset2\12\12_0_2_20170104013228314.jpg.chip.jpg,12
626,dataset2\12\054A12.JPG,12
1127,dataset2\13\nm0004741_rm129014528_1986-10-2_2000.jpg,13
3742,dataset2\22\11290688_1984-08-06_2007.jpg,22
2577,dataset2\18\09037_09M18.JPG,18
8418,dataset2\37\077346_2F37.JPG,37
11081,dataset2\46\052179_01M46.JPG,46
16395,dataset2\62\11325182_1946-01-24_2009.jpg,62
11678,dataset2\48\051500_00M48.JPG,48
3192,dataset2\20\12020_DebbieReynolds_20_f.jpg,20
547,dataset2\11\nm0153738_rm1824824064_1990-7-24_2002.jpg,11
6414,dataset2\31\10558409_1976-02-06_2008.jpg,31
8172,dataset2\36\087566_0M36.JPG,36
7889,dataset2\36\012A36.JPG,36
10698,dataset2\45\050657_0M45.JPG,45
11323,dataset2\47\049428_14M47.JPG,47
9286,dataset2\40\063878_2M40.JPG,40
15237,dataset2\59\1174867_1947-04-27_2007.jpg,59
14706,dataset2\57\1298_RitaLeviMontalcini_57_f.jpg,57
9783,dataset2\42\055128_0M42.JPG,42
11325,dataset2\47\049679_02M47.JPG,47
4941,dataset2\26\10110600_1985-09-17_2012.jpg,26
8044,dataset2\36\076181_34M36.JPG,36
10577,dataset2\44\058464_1M44.JPG,44
14229,dataset2\56\030091_0M56.JPG,56
4854,dataset2\26\00796_03M26.JPG,26
7187,dataset2\33\10536_JoanCollins_33_f.jpg,33
11517,dataset2\48\0165_02M48.JPG,48
10741,dataset2\45\051594_4M45.JPG,45
7216,dataset2\33\106907_6M33.JPG,33
5447,dataset2\27\12706_JanetLeigh_27_f.jpg,27
7304,dataset2\34\05517_0M34.JPG,34
18992,dataset2\7\nm0429407_rm2994718720_1982-0-0_1989.jpg,7
7282,dataset2\34\0137_5M34.JPG,34
14971,dataset2\58\12406_UrsulaAndress_58_f.jpg,58
4270,dataset2\24\0691_10M24.JPG,24
15454,dataset2\6\050A06.JPG,6
10242,dataset2\43\059562_3M43.JPG,43
1239,dataset2\14\074A14.JPG,14
7901,dataset2\36\02100_00M36.JPG,36
11169,dataset2\46\056425_00M46.JPG,46
16535,dataset2\62\1846791_1944-09-23_2007.jpg,62
15619,dataset2\6\6_1_4_20170104010006062.jpg.chip.jpg,6
9168,dataset2\40\059262_1M40.JPG,40
15822,dataset2\60\12041_DebbieReynolds_60_f.jpg,60
9705,dataset2\42\014A42.JPG,42
6828,dataset2\32\10992_EllenBurstyn_32_f.jpg,32
3943,dataset2\23\003A23.JPG,23
16468,dataset2\62\147063_1948-07-12_2011.jpg,62
18370,dataset2\68\33368829_1946-09-15_2015.jpg,68
5539,dataset2\28\1017615_1981-05-02_2010.jpg,28
15485,dataset2\6\15476195_1998-01-02_2005.jpg,6
15269,dataset2\59\13128_JaneRussell_59_f.jpg,59
5120,dataset2\26\1226505_1940-04-02_1967.jpg,26
8900,dataset2\39\064137_1M39.JPG,39
10002,dataset2\43\0054_3M43.JPG,43
13424,dataset2\53\047365_2M53.JPG,53
17003,dataset2\64\1150971_1947-12-20_2012.jpg,64
15282,dataset2\59\1351878_1953-10-04_2013.jpg,59
11641,dataset2\48\049679_04M48.JPG,48
12380,dataset2\5\nm0853779_rm289181184_1988-8-19_1994.jpg,5
3244,dataset2\20\13241_ShirleyMacLaine_20_f.jpg,20
18953,dataset2\7\nm0004941_rm1333577728_1976-8-6_1984.jpg,7
14907,dataset2\58\10224562_1948-06-14_2007.jpg,58
5547,dataset2\28\10288720_1981-11-08_2010.jpg,28
15960,dataset2\60\188564_1949-09-10_2010.jpg,60
11200,dataset2\46\057902_1M46.JPG,46
6346,dataset2\30\129054_1M30.JPG,30
10097,dataset2\43\054454_1M43.JPG,43
8806,dataset2\39\034A39.JPG,39
12109,dataset2\49\064437_1M49.JPG,49
16528,dataset2\62\177264_1902-04-20_1965.jpg,62
4112,dataset2\23\12062450_1924-03-03_1948.jpg,23
10584,dataset2\44\058752_7M44.JPG,44
6367,dataset2\31\006A31.JPG,31
17712,dataset2\66\248213_1942-01-11_2009.jpg,66
11160,dataset2\46\055744_1M46.JPG,46
1977,dataset2\16\16_0_0_20170110231526097.jpg.chip.jpg,16
18071,dataset2\67\34408922_1936-08-22_2004.jpg,67
2706,dataset2\18\13674_02M18.JPG,18
15844,dataset2\60\13101_GretaGarbo_60_f.jpg,60
1622,dataset2\15\15_0_0_20170110232717464.jpg.chip.jpg,15
9044,dataset2\39\071147_01M39.JPG,39
4707,dataset2\25\11568_00M25.JPG,25
16377,dataset2\62\107180_4M62.JPG,62
262,dataset2\10\nm0005286_rm471964160_1988-4-10_1999.jpg,10
1537,dataset2\15\061A15.JPG,15
11769,dataset2\48\058471_1M48.JPG,48
7795,dataset2\35\087292_1M35.JPG,35
13842,dataset2\54\1024_StephenHawking_54_m.jpg,54
15884,dataset2\60\147546_1954-02-24_2015.jpg,60
1169,dataset2\13\nm0259799_rm1432864768_1964-5-8_1978.jpg,13
16669,dataset2\63\1078404_1950-04-15_2014.jpg,63
19454,dataset2\8\8_0_3_20161220222825331.jpg.chip.jpg,8
6611,dataset2\31\126138_0M31.JPG,31
14991,dataset2\58\1311154_1955-08-03_2014.jpg,58
17292,dataset2\65\1195350_1942-12-23_2008.jpg,65
6958,dataset2\32\11853_BarbaraBouchet_32_f.jpg,32
13836,dataset2\54\099538_9M54.JPG,54
8003,dataset2\36\073074_0M36.JPG,36
11426,dataset2\47\055700_00M47.JPG,47
6858,dataset2\32\112196_0M32.JPG,32
5651,dataset2\28\11755729_1981-07-26_2010.jpg,28
8037,dataset2\36\076181_27M36.JPG,36
1932,dataset2\16\15806_02M16.JPG,16
1987,dataset2\16\16_0_0_20170110231645188.jpg.chip.jpg,16
19069,dataset2\70\11014_EllenBurstyn_70_f.jpg,70
16883,dataset2\63\26412227_1944-05-29_2008.jpg,63
16756,dataset2\63\1410_ErnestHemingway_63_m.jpg,63
4723,dataset2\25\11762_TildaSwinton_25_f.jpg,25
17216,dataset2\64\348746_1947-01-24_2012.jpg,64
2835,dataset2\19\07906_05M19.JPG,19
15132,dataset2\58\2052447_1888-07-10_1947.jpg,58
2913,dataset2\19\11841_BarbaraBouchet_19_f.jpg,19
12537,dataset2\50\046925_00M50.JPG,50
11277,dataset2\47\047621_2M47.JPG,47
15995,dataset2\60\22164720_1946-06-24_2007.jpg,60
7366,dataset2\34\087779_4M34.JPG,34
5675,dataset2\28\12028_DebbieReynolds_28_f.jpg,28
10301,dataset2\43\061752_4M43.JPG,43
4804,dataset2\25\12713008_1915-11-09_1941.jpg,25
10999,dataset2\46\049587_1M46.JPG,46
9684,dataset2\41\064522_0M41.JPG,41
14261,dataset2\56\034913_4M56.JPG,56
7499,dataset2\34\1008352_1971-10-26_2006.jpg,34
12883,dataset2\51\053497_1M51.JPG,51
3363,dataset2\21\040A21.JPG,21
11696,dataset2\48\051871_7F48.JPG,48
1596,dataset2\15\15_0_0_20170110223430616.jpg.chip.jpg,15
3700,dataset2\22\10291_08M22.JPG,22
13518,dataset2\53\077298_11M53.JPG,53
11246,dataset2\47\046271_7M47.JPG,47
18777,dataset2\7\072A07.JPG,7
15345,dataset2\59\1622891_1954-05-05_2014.jpg,59
17512,dataset2\65\33801713_1947-12-19_2013.jpg,65
15582,dataset2\6\6_1_2_20161219201340515.jpg.chip.jpg,6
19282,dataset2\70\34740274_1941-10-09_2012.jpg,70
11466,dataset2\47\059563_0M47.JPG,47
10221,dataset2\43\058934_5F43.JPG,43
12166,dataset2\5\5_0_0_20170103205053570.jpg.chip.jpg,5
8657,dataset2\38\070603_4M38.JPG,38
17981,dataset2\67\1793325_1890-10-29_1958.jpg,67
1214,dataset2\14\011A14.JPG,14
14613,dataset2\57\071367_1M57.JPG,57
14675,dataset2\57\11831_AnjelicaHuston_57_f.jpg,57
8856,dataset2\39\061689_0M39.JPG,39
7555,dataset2\34\102598_1M34.JPG,34
19536,dataset2\8\8_1_0_20170109204251231.jpg.chip.jpg,8
7448,dataset2\34\097234_2M34.JPG,34
14790,dataset2\57\16636969_1951-03-30_2009.jpg,57
10978,dataset2\46\048703_3M46.JPG,46
5195,dataset2\27\04408_02M27.JPG,27
8512,dataset2\38\04850_00M38.JPG,38
4145,dataset2\23\12703_JanetLeigh_23_f.jpg,23
19329,dataset2\70\42801416_1937-01-25_2008.jpg,70
2256,dataset2\17\11781_ValerieHarper_17_f.jpg,17
7563,dataset2\34\102831_3M34.JPG,34
10616,dataset2\45\037330_1M45.JPG,45
6446,dataset2\31\11085017_1979-04-13_2011.jpg,31
13845,dataset2\54\10393_AnnMargret_54_f.jpg,54
12303,dataset2\5\5_1_2_20161219151522483.jpg.chip.jpg,5
